"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         214,      -3.936009754,      -1.474313163,      -1.763103098,      0.9371642453
          0,           0,         215,      -3.946810551,      -1.479182454,       -1.78782973,      0.8757552619
          0,           0,         216,      -3.942245568,      -1.474667516,      -1.774096314,      0.8686229068
          0,           0,         217,      -3.936551241,      -1.473954371,      -1.757768628,      0.9291583967
          0,           0,         218,      -3.950705185,      -1.479750016,      -1.790467041,      0.8419968447
          0,           0,         219,      -3.950507349,      -1.480042409,      -1.785731294,       0.838707538
          0,           0,         220,      -3.945206659,      -1.479298898,      -1.770805301,      0.8970681101
          0,           0,         221,      -3.958641218,      -1.485157928,      -1.805188489,      0.8212138914
          0,           0,         222,      -3.958701742,      -1.486967866,      -1.802898444,       0.829086924
          0,           0,         223,      -3.952455676,       -1.48562111,      -1.787212036,      0.8890621335
          0,           0,         224,      -3.965891009,      -1.491975631,      -1.820302729,        0.81635128
          0,           0,         225,      -3.966115871,      -1.493862837,      -1.817459401,      0.8247116482
          0,           0,         226,      -3.974209564,        -1.4990504,      -1.836649842,      0.8099329951
          0,           0,         227,      -3.974516635,       -1.50001061,      -1.831264276,      0.8133712119
          0,           0,         228,         -3.972842,      -1.501645623,      -1.817759297,      0.8686894305
          0,           0,         229,       -3.98250136,      -1.506326173,      -1.848299748,      0.8026096764
          0,           0,         230,      -3.984143452,      -1.507882574,      -1.845668831,      0.8076266215
          0,           0,         231,      -3.988803512,      -1.512151925,      -1.862564996,      0.8223459987
          0,           0,         232,      -3.989303117,       -1.51208628,       -1.85869855,      0.8220027991
          0,           0,         233,      -3.991038868,      -1.515780102,      -1.869852589,      0.8486570462
          0,           0,         234,      -3.991687201,      -1.515870523,      -1.866124189,      0.8392464492
          0,           0,         235,      -3.993423259,      -1.518619393,       -1.87449947,      0.8561640193
          0,           0,         236,      -3.992928612,      -1.517772933,      -1.866990677,      0.8387113171
          0,           0,         237,      -3.993754272,      -1.520572043,      -1.872238226,      0.8481692769
          0,           0,         238,      -3.989223106,      -1.516689402,       -1.85697881,      0.8323977062
          0,           0,         239,      -3.989464172,      -1.519123848,      -1.858679518,      0.8343285832
          0,           0,         240,      -3.983468433,      -1.512694264,      -1.838991189,      0.8181107055
          0,           0,         241,      -3.979326816,      -1.512099409,      -1.824650707,      0.8612480316
          0,           0,         242,      -3.987737316,      -1.516669084,      -1.846654308,      0.8125040117
          0,           0,         243,      -3.985733238,      -1.514248528,      -1.836753351,       0.807274485
          0,           0,         244,      -3.981294003,      -1.511964094,      -1.821538945,      0.8530938881
          0,           0,         245,      -3.992198071,      -1.518721899,      -1.847801497,      0.7971230369
          0,           0,         246,      -3.993386657,      -1.519813227,      -1.844342142,      0.7914664138
          0,           0,         247,       -3.98960601,      -1.518395507,      -1.831230108,       0.842887642
          0,           0,         248,      -4.000515982,      -1.525120115,      -1.859241603,      0.7776483814
          0,           0,         249,      -4.003045974,      -1.527533688,      -1.859027259,      0.7714658216
          0,           0,         250,      -3.999996793,      -1.526559854,      -1.847376775,      0.8207244404
          0,           0,         251,      -4.009594057,      -1.533023682,      -1.874996468,      0.7623018055
          0,           0,         252,      -4.012408476,      -1.535573493,      -1.875510346,      0.7559339852
          0,           0,         253,      -4.009392357,       -1.53418984,      -1.863158924,      0.8027969791
          0,           0,         254,      -4.017730629,      -1.540383562,      -1.889236501,      0.7495589272
          0,           0,         255,       -4.02067875,      -1.542663182,      -1.890152666,      0.7400345848
          0,           0,         256,      -4.017941033,       -1.54115012,      -1.877183281,      0.7838096595
          0,           0,         257,      -4.024817909,       -1.54670432,      -1.902204331,      0.7386480106
          0,           0,         258,      -4.028001057,      -1.548921587,       -1.90445894,      0.7272587915
          0,           0,         259,      -4.025757376,      -1.547424438,      -1.891399999,      0.7648445558
          0,           0,         260,      -4.030904358,      -1.552496791,      -1.915664779,       0.737881533
          0,           0,         261,       -4.03420149,      -1.554841199,      -1.919260656,      0.7266887318
          0,           0,         262,      -4.037013297,      -1.559464247,      -1.932409237,      0.7539409375
          0,           0,         263,      -4.038582933,      -1.560151854,      -1.933155388,      0.7428683851
          0,           0,         264,      -4.039033364,      -1.562895452,      -1.939607405,      0.7809231143
          0,           0,         265,      -4.039558002,      -1.562723855,      -1.936639174,       0.765024663
          0,           0,         266,      -4.038996892,      -1.563458135,      -1.939259551,      0.8019884085
          0,           0,         267,      -4.037481544,      -1.561352748,      -1.930556756,      0.7809857367
          0,           0,         268,      -4.034518141,      -1.558942577,      -1.929307958,      0.8185245834
          0,           0,         269,      -4.030447375,      -1.554097758,      -1.914667417,      0.7964468121
          0,           0,         270,       -4.02708633,      -1.552736997,      -1.898841476,      0.8202336374
          0,           0,         271,      -4.028161192,      -1.549755146,      -1.914567445,      0.8274532884
          0,           0,         272,      -4.027850065,      -1.546293146,      -1.907156868,      0.8067689992
          0,           0,         273,      -4.025301669,      -1.543036049,      -1.890534377,      0.8209454885
          0,           0,         274,       -4.02626013,      -1.538990233,      -1.909903911,      0.8459333211
          0,           0,         275,      -4.030066134,      -1.536196132,      -1.905114443,      0.8079906586
